序号,类别,标题,起始页,结束页,页数,相对路径
157,小节,24.3 Maximum bipartite matching,897,902,6,Part_VI_Graph_Algorithms/24_Maximum_Flow/24.3_Maximum_bipartite_matching.pdf
158,章标题页,25 Matchings in Bipartite Graphs,911,912,2,Part_VI_Graph_Algorithms/25_Matchings_in_Bipartite_Graphs/25_Matchings_in_Bipartite_Graphs_标题页.pdf
159,小节,25.1 Maximum bipartite matching (revisited),913,927,15,Part_VI_Graph_Algorithms/25_Matchings_in_Bipartite_Graphs/25.1_Maximum_bipartite_matching_(revisited).pdf
160,小节,25.2 The stable-marriage problem,927,936,10,Part_VI_Graph_Algorithms/25_Matchings_in_Bipartite_Graphs/25.2_The_stable-marriage_problem.pdf
161,小节,25.3 The Hungarian algorithm for the assignment problem,936,958,23,Part_VI_Graph_Algorithms/25_Matchings_in_Bipartite_Graphs/25.3_The_Hungarian_algorithm_for_the_assignment_problem.pdf
162,篇引言,Introduction,965,968,4,Part_VII_Selected_Topics/Introduction.pdf
163,章标题页,26 Parallel Algorithms,969,971,3,Part_VII_Selected_Topics/26_Parallel_Algorithms/26_Parallel_Algorithms_标题页.pdf
164,小节,26.1 The basics of fork-join parallelism,972,999,28,Part_VII_Selected_Topics/26_Parallel_Algorithms/26.1_The_basics_of_fork-join_parallelism.pdf
165,小节,26.2 Parallel matrix multiplication,999,1005,7,Part_VII_Selected_Topics/26_Parallel_Algorithms/26.2_Parallel_matrix_multiplication.pdf
166,小节,26.3 Parallel merge sort,1005,1015,11,Part_VII_Selected_Topics/26_Parallel_Algorithms/26.3_Parallel_merge_sort.pdf
167,章标题页,27 Online Algorithms,1026,1026,1,Part_VII_Selected_Topics/27_Online_Algorithms/27_Online_Algorithms_标题页.pdf
168,小节,27.1 Waiting for an elevator,1027,1031,5,Part_VII_Selected_Topics/27_Online_Algorithms/27.1_Waiting_for_an_elevator.pdf
169,小节,27.2 Maintaining a search list,1031,1039,9,Part_VII_Selected_Topics/27_Online_Algorithms/27.2_Maintaining_a_search_list.pdf
170,小节,27.3 Online caching,1039,1056,18,Part_VII_Selected_Topics/27_Online_Algorithms/27.3_Online_caching.pdf
171,小节,28.1 Solving systems of linear equations,1061,1078,18,Part_VII_Selected_Topics/28_Matrix_Operations/28.1_Solving_systems_of_linear_equations.pdf
172,小节,28.2 Inverting matrices,1078,1085,8,Part_VII_Selected_Topics/28_Matrix_Operations/28.2_Inverting_matrices.pdf
173,小节,28.3 Symmetric positive-definite matrices and least-squares approximation,1085,1095,11,Part_VII_Selected_Topics/28_Matrix_Operations/28.3_Symmetric_positive-definite_matrices_and_least-squares_approximation.pdf
174,章标题页,29 Linear Programming,1099,1101,3,Part_VII_Selected_Topics/29_Linear_Programming/29_Linear_Programming_标题页.pdf
175,小节,29.1 Linear programming formulations and algorithms,1102,1111,10,Part_VII_Selected_Topics/29_Linear_Programming/29.1_Linear_programming_formulations_and_algorithms.pdf
176,小节,29.2 Formulating problems as linear programs,1111,1119,9,Part_VII_Selected_Topics/29_Linear_Programming/29.2_Formulating_problems_as_linear_programs.pdf
177,小节,29.3 Duality,1119,1128,10,Part_VII_Selected_Topics/29_Linear_Programming/29.3_Duality.pdf
178,章标题页,30 Polynomials and the FFT,1133,1134,2,Part_VII_Selected_Topics/30_Polynomials_and_the_FFT/30_Polynomials_and_the_FFT_标题页.pdf
179,小节,30.1 Representing polynomials,1135,1143,9,Part_VII_Selected_Topics/30_Polynomials_and_the_FFT/30.1_Representing_polynomials.pdf
180,小节,30.2 The DFT and FFT,1143,1153,11,Part_VII_Selected_Topics/30_Polynomials_and_the_FFT/30.2_The_DFT_and_FFT.pdf
181,小节,30.3 FFT circuits,1153,1159,7,Part_VII_Selected_Topics/30_Polynomials_and_the_FFT/30.3_FFT_circuits.pdf
182,章标题页,31 Number-Theoretic Algorithms,1165,1166,2,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31_Number-Theoretic_Algorithms_标题页.pdf
183,小节,31.1 Elementary number-theoretic notions,1167,1175,9,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.1_Elementary_number-theoretic_notions.pdf
184,小节,31.2 Greatest common divisor,1175,1182,8,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.2_Greatest_common_divisor.pdf
185,小节,31.3 Modular arithmetic,1182,1191,10,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.3_Modular_arithmetic.pdf
186,小节,31.4 Solving modular linear equations,1191,1196,6,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.4_Solving_modular_linear_equations.pdf
187,小节,31.5 The Chinese remainder theorem,1196,1201,6,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.5_The_Chinese_remainder_theorem.pdf
188,小节,31.6 Powers of an element,1201,1206,6,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.6_Powers_of_an_element.pdf
189,小节,31.7 The RSA public-key cryptosystem,1206,1215,10,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.7_The_RSA_public-key_cryptosystem.pdf
190,小节,★ 31.8 Primality testing,1215,1229,15,Part_VII_Selected_Topics/31_Number-Theoretic_Algorithms/31.8_Primality_testing.pdf
191,章标题页,32 String Matching,1234,1236,3,Part_VII_Selected_Topics/32_String_Matching/32_String_Matching_标题页.pdf
192,小节,32.1 The naive string-matching algorithm,1237,1240,4,Part_VII_Selected_Topics/32_String_Matching/32.1_The_naive_string-matching_algorithm.pdf
193,小节,32.2 The Rabin-Karp algorithm,1240,1247,8,Part_VII_Selected_Topics/32_String_Matching/32.2_The_Rabin-Karp_algorithm.pdf
194,小节,32.3 String matching with finite automata,1247,1257,11,Part_VII_Selected_Topics/32_String_Matching/32.3_String_matching_with_finite_automata.pdf
195,小节,★ 32.4 The Knuth-Morris-Pratt algorithm,1257,1270,14,Part_VII_Selected_Topics/32_String_Matching/32.4_The_Knuth-Morris-Pratt_algorithm.pdf
